Wavelength,Clean Snow,2022-5-16-BB-DBC,2022-6-BB-DBC,2022-7-BB-DBC,2022-7-15-MUIR-A-DBC,2022-8-5-SHOLES-1-DBC,2022-8-6-RAINBOW-1-DBC,2022-8-11-EASTON-1-DBC,2022-8-15-MUIR-1-DBC,2022-9-15-PR-SNOW,2022-9-15-SHOLES-1-DBC,2022-9-25-SHOLES-1-DBC,2022-10-14-SHOLES-1-DBC
1295,0.087172535,0.073760145,0.069958946,0.076286767,0.070139152,0.078032653,0.078399987,0.080338476,0.07936874,0.100327535,0.101391807,0.108776162,0.129081734
1305,0.088109105,0.074609074,0.070781133,0.077152352,0.070963189,0.078910737,0.079280529,0.081232126,0.080255883,0.101352198,0.102423321,0.109854031,0.130282083
1315,0.088710439,0.075154385,0.07130938,0.077708372,0.071492571,0.079474697,0.079846065,0.081806045,0.080825637,0.102009891,0.103085384,0.110545728,0.131052029
1325,0.088985346,0.075403559,0.071550785,0.077962557,0.071734413,0.079732442,0.080104538,0.08206837,0.081086042,0.102310736,0.103388226,0.110862204,0.131404488
1335,0.088938784,0.075360898,0.071509459,0.077919334,0.071692838,0.079688485,0.080060481,0.082023731,0.08104168,0.102260339,0.103337504,0.110809474,0.131346438
1345,0.08732502,0.073896487,0.070090978,0.076426947,0.070270815,0.078174378,0.078542205,0.080483115,0.079512126,0.100496622,0.101562068,0.108955188,0.129283851
1355,0.085468798,0.072214756,0.068462714,0.07471245,0.068638538,0.07643466,0.076797615,0.078712451,0.077754382,0.098465289,0.099517047,0.106817909,0.12690257
1365,0.083422624,0.070364194,0.066671865,0.072825078,0.066843328,0.074519188,0.074876681,0.076762319,0.075818727,0.096222919,0.097259334,0.104456602,0.124266931
1375,0.079634223,0.066948236,0.063368935,0.0693388,0.063532505,0.070979914,0.071327006,0.073157146,0.072241101,0.09206128,0.093068484,0.10006802,0.119353704
1385,0.073881329,0.061786533,0.058385137,0.064065215,0.058536924,0.065623205,0.065953801,0.067696098,0.066823708,0.085716953,0.086677764,0.093362247,0.111809279
1395,0.06620316,0.054948602,0.0517967,0.057068084,0.051933063,0.058509734,0.058816933,0.060434909,0.059624393,0.077200513,0.078095307,0.084329653,0.101572861
1405,0.044507488,0.036003687,0.033653764,0.037605136,0.033746826,0.038700873,0.038971327,0.040097366,0.039466415,0.052768148,0.053446107,0.058190011,0.071403583
