date,latitude (N),longitude (E),total_aot,smoke_aot
2022-08-10,48.5,-121.5,0.16632749,0.0907125
2022-08-11,48.5,-121.5,0.08915,0.03928
2022-08-12,48.5,-121.5,0.13342999,0.070195004
2022-08-13,48.5,-121.5,0.1303875,0.058902495
2022-08-14,48.5,-121.5,0.0419325,0.014905
2022-08-15,48.5,-121.5,0.0367325,0.011027499
2022-08-16,48.5,-121.5,0.050035,0.013515
2022-08-17,48.5,-121.5,0.050369997,0.017785
2022-08-18,48.5,-121.5,0.12673,0.06368
2022-08-19,48.5,-121.5,0.29180503,0.148025
2022-08-20,48.5,-121.5,0.18688251,0.0946375
2022-08-21,48.5,-121.5,0.22102,0.105014995
2022-08-22,48.5,-121.5,0.05248,0.0209125
2022-08-23,48.5,-121.5,0.068665,0.0304225
2022-08-24,48.5,-121.5,0.13233,0.082405
2022-08-25,48.5,-121.5,0.13181251,0.0760125
2022-08-26,48.5,-121.5,0.1378675,0.066175
2022-08-27,48.5,-121.5,0.0689675,0.015127501
2022-08-28,48.5,-121.5,0.050607502,0.0083475
2022-08-29,48.5,-121.5,0.031062499,0.0075075
2022-08-30,48.5,-121.5,0.08051,0.0495575
2022-08-31,48.5,-121.5,0.2269325,0.18214999
2022-09-01,48.5,-121.5,0.3121275,0.26734
2022-09-02,48.5,-121.5,0.313855,0.28807
2022-09-03,48.5,-121.5,0.579485,0.5330825
2022-09-04,48.5,-121.5,0.49505,0.4642875
2022-09-05,48.5,-121.5,0.12105,0.10147501
2022-09-06,48.5,-121.5,0.040942505,0.031625
2022-09-07,48.5,-121.5,0.10457,0.0977475
2022-09-08,48.5,-121.5,0.114582494,0.1011125
2022-09-09,48.5,-121.5,0.30787998,0.288145
2022-09-10,48.5,-121.5,0.454405,0.44262502
2022-09-11,48.5,-121.5,0.40021497,0.35707
2022-09-12,48.5,-121.5,0.8719525,0.76205254
2022-09-13,48.5,-121.5,0.5156,0.4791225
2022-09-14,48.5,-121.5,0.62275755,0.5559425
2022-09-15,48.5,-121.5,0.38915,0.32656252
2022-09-16,48.5,-121.5,0.14822501,0.09951
2022-09-17,48.5,-121.5,0.0418475,0.015407501
2022-09-18,48.5,-121.5,0.09548999,0.056450002
2022-09-19,48.5,-121.5,0.10183,0.0678775
2022-09-20,48.5,-121.5,0.051660005,0.0178175
2022-09-21,48.5,-121.5,0.0640425,0.03388
2022-09-22,48.5,-121.5,0.11498,0.06153
2022-09-23,48.5,-121.5,0.072469994,0.0324575
2022-09-24,48.5,-121.5,0.059232503,0.026315
2022-09-25,48.5,-121.5,0.0567625,0.02899
2022-09-26,48.5,-121.5,0.1017475,0.0652975
2022-09-27,48.5,-121.5,0.2177725,0.1597175
2022-09-28,48.5,-121.5,0.26175,0.2092475
2022-09-29,48.5,-121.5,0.2908375,0.23668249
2022-09-30,48.5,-121.5,0.180105,0.11577751
2022-10-01,48.5,-121.5,0.1479,0.09809
2022-10-02,48.5,-121.5,0.1475,0.1081025
2022-10-03,48.5,-121.5,0.15004501,0.11008
2022-10-04,48.5,-121.5,0.1950975,0.150505
2022-10-05,48.5,-121.5,0.21200751,0.17946249
2022-10-06,48.5,-121.5,0.17362,0.15137
2022-10-07,48.5,-121.5,0.256545,0.21973
2022-10-08,48.5,-121.5,0.274095,0.2253275
2022-10-09,48.5,-121.5,0.18523,0.15206
2022-10-10,48.5,-121.5,0.1438625,0.1011
2022-10-11,48.5,-121.5,0.08217,0.044045
2022-10-12,48.5,-121.5,0.054895,0.0328225
2022-10-13,48.5,-121.5,0.108752504,0.053414997
2022-10-14,48.5,-121.5,0.055889998,0.0314275
2022-10-15,48.5,-121.5,0.16227001,0.075795
2022-10-16,48.5,-121.5,0.09823251,0.058629997
2022-10-17,48.5,-121.5,0.1338625,0.078614995
2022-10-18,48.5,-121.5,0.23254,0.2166275
2022-10-19,48.5,-121.5,0.28729498,0.26838002
2022-10-20,48.5,-121.5,0.1349425,0.1192425
2022-10-21,48.5,-121.5,0.1431725,0.11350001
2022-10-22,48.5,-121.5,0.036240004,0.0121
2022-10-23,48.5,-121.5,0.0114375,0.00103
2022-10-24,48.5,-121.5,0.0551975,0.00603
2022-10-25,48.5,-121.5,0.0795425,0.002345
2022-10-26,48.5,-121.5,0.059520002,0.0005425
2022-10-27,48.5,-121.5,0.06804,0.0017325
2022-10-28,48.5,-121.5,0.0460875,0.0038075
2022-10-29,48.5,-121.5,0.08734,0.01063
2022-10-30,48.5,-121.5,0.046297498,0.0064625
2022-10-31,48.5,-121.5,0.023617499,0.00118
2023-05-01,48.5,-121.5,0.0929075,0.0160425
2023-05-02,48.5,-121.5,0.2110275,0.0695625
2023-05-03,48.5,-121.5,0.17366001,0.0735925
2023-05-04,48.5,-121.5,0.1653825,0.04934
2023-05-05,48.5,-121.5,0.15162998,0.053929996
2023-05-06,48.5,-121.5,0.0884675,0.01777
2023-05-07,48.5,-121.5,0.0811675,0.01151
2023-05-08,48.5,-121.5,0.0775425,0.009527501
2023-05-09,48.5,-121.5,0.079987496,0.006995
2023-05-10,48.5,-121.5,0.07594,0.00728
2023-05-11,48.5,-121.5,0.0738025,0.0071725
2023-05-12,48.5,-121.5,0.13978,0.01801
2023-05-13,48.5,-121.5,0.070930004,0.012247499
2023-05-14,48.5,-121.5,0.0839275,0.022490002
2023-05-15,48.5,-121.5,0.0568825,0.019935
2023-05-16,48.5,-121.5,0.120045,0.033995
2023-05-17,48.5,-121.5,0.309555,0.1588175
2023-05-18,48.5,-121.5,0.5666825,0.3898075
2023-05-19,48.5,-121.5,0.24268751,0.1498625
2023-05-20,48.5,-121.5,0.1477675,0.0796475
2023-05-21,48.5,-121.5,0.14252,0.056712497
2023-05-22,48.5,-121.5,0.10516,0.021367501
2023-05-23,48.5,-121.5,0.13771501,0.033615
2023-05-24,48.5,-121.5,0.156705,0.0628175
2023-05-25,48.5,-121.5,0.16678001,0.0784925
2023-05-26,48.5,-121.5,0.1576675,0.0697925
2023-05-27,48.5,-121.5,0.12858249,0.046345
2023-05-28,48.5,-121.5,0.1186825,0.029875001
2023-05-29,48.5,-121.5,0.1221875,0.01935
2023-05-30,48.5,-121.5,0.11439,0.013867501
2023-05-31,48.5,-121.5,0.1305875,0.0215875
2023-06-01,48.5,-121.5,0.107935,0.0267375
2023-06-02,48.5,-121.5,0.1036625,0.03147
2023-06-03,48.5,-121.5,0.0809075,0.0161325
2023-06-04,48.5,-121.5,0.05877,0.012599999
2023-06-05,48.5,-121.5,0.0728225,0.0243925
2023-06-06,48.5,-121.5,0.0586575,0.0393075
2023-06-07,48.5,-121.5,0.10413499,0.0693325
2023-06-08,48.5,-121.5,0.144795,0.086675
2023-06-09,48.5,-121.5,0.1998325,0.0881175
2023-06-10,48.5,-121.5,0.2006775,0.06799249
2023-06-11,48.5,-121.5,0.10065749,0.033157498
2023-06-12,48.5,-121.5,0.096994996,0.053257503
2023-06-13,48.5,-121.5,0.0995125,0.04018
2023-06-14,48.5,-121.5,0.1545725,0.04148
2023-06-15,48.5,-121.5,0.203325,0.1409225
2023-06-16,48.5,-121.5,0.1338475,0.052545
2023-06-17,48.5,-121.5,0.073892504,0.015974998
2023-06-18,48.5,-121.5,0.0812725,0.0229575
2023-06-19,48.5,-121.5,0.078360006,0.0271975
2023-06-20,48.5,-121.5,0.096965,0.034232497
2023-06-21,48.5,-121.5,0.14167249,0.052259997
2023-06-22,48.5,-121.5,0.1950225,0.0858625
2023-06-23,48.5,-121.5,0.18942499,0.081485
2023-06-24,48.5,-121.5,0.20528752,0.09199001
2023-06-25,48.5,-121.5,0.2156675,0.10353
2023-06-26,48.5,-121.5,0.2362375,0.11106999
2023-06-27,48.5,-121.5,0.21180749,0.105297506
2023-06-28,48.5,-121.5,0.17428249,0.08356
2023-06-29,48.5,-121.5,0.110125,0.047885
2023-06-30,48.5,-121.5,0.0432075,0.01344
2023-07-01,48.5,-121.5,0.05779,0.01459
2023-07-02,48.5,-121.5,0.057917498,0.0151075
2023-07-03,48.5,-121.5,0.095084995,0.0369225
2023-07-04,48.5,-121.5,0.27697998,0.14185
2023-07-05,48.5,-121.5,0.28314248,0.182885
2023-07-06,48.5,-121.5,0.2442025,0.14215001
2023-07-07,48.5,-121.5,0.2347625,0.138325
2023-07-08,48.5,-121.5,0.21529,0.115232505
